Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
107,,,65,74,4,4,87.33333333333333,0,0,0,0,0,0.6196408271789551,0.005442619323730469,9.942054748535156e-05,0.0008585453033447266,0.0002732276916503906,0.6086208820343018
108,,,65,74,4,3,101.25,0,0,0,0,0,0.6198101043701172,0.0055277347564697266,0.00010037422180175781,0.0008606910705566406,0.0002732276916503906,0.608670711517334
109,,,65,74,2,2,100.66666666666667,0,0,0,0,0,0.619966983795166,0.005614757537841797,0.00010156631469726562,0.0008625984191894531,0.0002732276916503906,0.6087167263031006
110,,,65,74,6,4,89.5,0,0,0,0,0,0.6201422214508057,0.005700826644897461,0.00010275840759277344,0.0008645057678222656,0.0002732276916503906,0.608767032623291
111,,,65,74,6,2,98.0,0,0,0,0,0,0.6203930377960205,0.005836963653564453,0.00010275840759277344,0.0008666515350341797,0.0002732276916503906,0.6088461875915527
112,,,65,74,3,2,101.0,0,0,0,0,0,0.620560884475708,0.005930900573730469,0.00010395050048828125,0.0008687973022460938,0.0002732276916503906,0.6088931560516357
113,,,67,76,3,2,113.0,0,0,2,0,0,0.6208999156951904,0.006019115447998047,0.0001049041748046875,0.0009348392486572266,0.0002892017364501953,0.6089398860931396
114,,,69,78,4,2,114.0,0,0,2,0,0,0.6212339401245117,0.0061070919036865234,0.00010585784912109375,0.001003265380859375,0.00030493736267089844,0.6089954376220703
115,,,69,78,7,2,98.0,0,0,0,0,0,0.6214220523834229,0.006195783615112305,0.00010585784912109375,0.001004934310913086,0.00030493736267089844,0.6090552806854248
116,,,69,78,4,1,92.0,0,0,0,0,0,0.6215939521789551,0.006287097930908203,0.0001068115234375,0.0010068416595458984,0.00030493736267089844,0.6091058254241943
